raw_error,error,delta,integral,derivative,steps,steps_to_take_right_now,process_value
-7.5,1.49,0.0,105.17,-2.54,0.8,0.0,60.0
9.28,7.97,0.0,106.63,0.37,0.84,0.0,60.0
33.45,4.82,0.0,107.24,8.1,0.88,0.0,60.0
2.14,6.89,0.0,108.56,-1.35,0.93,0.0,60.0
-8.93,5.98,0.0,109.26,-4.22,0.97,0.0,60.0
15.57,10.42,0.0,110.9,1.45,0.01,1.0,60.0
-11.88,2.48,0.0,111.53,-4.06,0.07,1.0,60.0
15.92,10.06,0.0,112.42,1.66,0.13,1.0,60.0
-19.42,-0.7,0.0,113.13,-5.3,0.19,1.0,60.0
7.22,6.13,0.0,114.65,0.31,0.25,1.0,60.0
-22.95,-3.09,0.0,115.33,-5.61,0.3,1.0,60.0
8.52,9.44,0.0,116.74,-0.26,0.36,1.0,60.0
-5.64,5.22,0.0,117.59,-3.07,0.41,1.0,60.0
9.7,7.51,0.0,119.09,0.62,0.45,1.0,60.0
-5.45,4.74,0.0,119.78,-2.88,0.5,1.0,60.0
3.14,7.65,0.0,121.21,-1.28,0.55,1.0,60.0
28.62,7.73,0.0,121.86,5.91,0.6,1.0,60.0
9.82,6.25,0.0,122.84,1.01,0.65,0.0,60.0
18.32,10.79,0.0,124.3,2.13,0.69,0.0,60.0
4.43,7.99,0.0,125.29,-1.01,0.74,0.0,60.0
-7.87,3.61,0.0,126.02,-3.25,0.78,0.0,60.0
2.38,7.81,0.0,127.44,-1.53,0.82,0.0,60.0
32.23,5.66,0.0,128.35,7.51,0.86,0.0,60.0
13.91,7.21,0.0,129.74,1.9,0.91,0.0,60.0
-3.66,3.67,0.0,130.48,-2.07,0.96,0.0,60.0
2.87,9.19,0.0,131.88,-1.79,1.0,0.0,60.0
-1.56,5.98,0.0,132.73,-2.13,0.04,1.0,60.0
10.54,10.18,0.0,133.97,0.1,0.09,1.0,60.0
22.82,9.69,0.0,134.9,3.72,0.15,1.0,60.0
13.49,7.08,0.0,136.37,1.81,0.21,1.0,60.0
